Titanic,1997,7.9,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
Guardiões da Galáxia Vol. 3,2023,8.2,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
The Machine,2023,6.0,Bert's drunken past catches up with him 20 years down the road when he and his father are kidnapped by those Bert wronged 20 years ago while drunk on a college semester abroad in Russia.
Beau Tem Medo,2023,6.9,"Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic, Kafkaesque odyssey back home."
Dungeons & Dragons: Honra Entre Rebeldes,2023,7.3,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people."
A Morte do Demônio: A Ascensão,2023,6.7,"A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable."
O Mistério de Maya,2023,8.0,"As a medical team tries to understand 10-year-old Maya Kowalski's rare illness, they begin to question her parents. Suddenly, Maya is in state custody - despite a family desperate to bring their daughter home."
The Wrath of Becky,2023,6.0,"Two years after escaping a violent attack, a teenage girl must defend herself against a terrorist cell."
The Blackening,2022,6.5,Seven Black friends go away for the weekend and end up trapped in a cabin with a killer who has a vendetta. Will their street smarts and knowledge of horror movies help them stay alive? Probably not.
Flamin' Hot: O Sabor que Mudou a História,2023,6.9,"This is the inspiring ""true"" story of Richard Montañez who, as a Frito Lay janitor, disrupted the food industry by channeling his Mexican heritage to turn Flamin' Hot Cheetos from a snack into an iconic global pop culture phenomenon."
Air: A História Por Trás do Logo,2023,7.5,"Follows the history of sports marketing executive Sonny Vaccaro, and how he led Nike in its pursuit of the greatest athlete in the history of basketball, Michael Jordan."
Boogeyman: Seu Medo é Real,2023,6.1,"Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it's too late."
X: A Marca da Morte,2022,6.6,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives."
Nefarious,2023,6.3,"On the day of his scheduled execution, a convicted serial killer gets a psychiatric evaluation during which he claims he is a demon, and further claims that before their time is over, the psychiatrist will commit three murders of his own."
Homem-Formiga e a Vespa: Quantumania,2023,6.1,"Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?"
Os Caçadores da Arca Perdida,1981,8.4,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
Renfield - Dando o Sangue Pelo Chefe,2023,6.4,"Renfield, Dracula's henchman and inmate at the lunatic asylum for decades, longs for a life away from the Count, his various demands, and all of the bloodshed that comes with them."
Meu Pai é um Perigo,2023,5.8,"When Sebastian tells his old-school Italian immigrant father Salvo that he is going to propose to his all-American girlfriend, Salvo insists on crashing a weekend with her tony parents."
Sisu,2022,6.9,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, Nazi soldiers led by a brutal SS officer battle him."
Interestelar,2014,8.7,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
Shazam! Fúria dos Deuses,2023,6.0,"The film continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!"" is transformed into his adult Super Hero alter ego, Shazam."
Black Clover: A Espada do Rei Mago,2023,7.5,"In a world where magic is everything, Asta, a boy who was born with no magic, aims to become the ""Wizard King,"" to overcome adversity, prove his power, and keep his oath with his friends."
A Mula,2018,7.0,A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.
O Pior Vizinho do Mundo,2022,7.5,"Otto is a grump who's given up on life following the loss of his wife and wants to end it all. When a young family moves in nearby, he meets his match in quick-witted Marisol, leading to a friendship that will turn his world around."
Past Lives,2023,8.4,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny."
Creed III,2023,6.8,"Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight."
O Poderoso Chefão,1972,9.2,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger."
Top Gun: Maverick,2022,8.3,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
Um Sonho de Liberdade,1994,9.3,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
BlackBerry,2023,7.4,The story of the meteoric rise and catastrophic demise of the world's first smartphone.
Chevalier: A Verdadeira História Nunca Contada,2022,6.6,"Based on factual story of composer Joseph Bologne, Chevalier de Saint-Georges, the illegitimate son of an African enslaved and a French plantation owner, who rises to heights in French society as a composer before an ill-fated love affair."
Avatar,2009,7.9,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
Duna,2021,8.0,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
Reality,2023,6.7,A former American intelligence specialist was given the longest sentence for the unauthorized release of government information to the media about Russian interference in the 2016 United States elections via an email operation.
Batman,2022,7.8,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
Indiana Jones e a Última Cruzada,1989,8.2,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
Sanctuary,2022,6.5,"Follows a dominatrix and Hal, her wealthy client, and the disaster that ensues when Hal tries to end their relationship."
Midsommar: O Mal Não Espera a Noite,2019,7.1,A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.
Homem-Aranha: Sem Volta para Casa,2021,8.2,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
Tudo em Todo o Lugar ao Mesmo Tempo,2022,7.8,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
"Ruby Marinho, Monstro Adolescente",2023,5.9,"A shy adolescent learns that she comes from a fabled royal family of legendary sea krakens and that her destiny lies in the depths of the waters, which is bigger than she could have ever imagined."
Batman: O Cavaleiro das Trevas,2008,9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
O Menu,2022,7.2,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises."
Sound of Freedom,2022,7.6,The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from sex traffickers.
Hypnotic,2023,5.4,A detective investigates a mystery involving his missing daughter and a secret government program.
Babilônia,2022,7.2,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood."
Pânico VI,2023,6.6,"In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City."
Ou Tudo ou Nada,1997,7.2,"Six unemployed steel workers form a male striptease act. The women cheer them on to go for ""the full monty"" - total nudity."
A Baleia,2022,7.7,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter."
Indiana Jones e o Templo da Perdição,1984,7.5,"In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a rock stolen from them by a secret cult beneath the catacombs of an ancient palace."
Trem-Bala,2022,7.3,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.
Desafio no Bronx,1993,7.8,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.
Através da Minha Janela: Além-mar,2023,5.0,Follows Raquel and Ares as they face challenges in the next chapter of their relationship and their individual lives.
65 - Ameaça Pré-Histórica,2023,5.4,An astronaut crash lands on a mysterious planet only to discover he's not alone.
De Volta ao Jogo,2014,7.4,An ex-hitman comes out of retirement to track down the gangsters who killed his dog and stole his car.
Loucas em Apuros,2023,6.4,"Follows four Asian-American friends as they bond and discover the truth of what it means to know and love who you are, while they travel through Asia in search of one of their birth mothers."
 team to disaster."
"Não Se Preocupe, Querida",2022,6.3,"While her husband leaves home everyday to work in a top secret facility, a young 1950s housewife begins to question her life when she notices strange behavior from the other wives in the neighborhood."
Tubarão,1975,8.1,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
O Exorcista do Papa,2023,6.1,"Follow Gabriele Amorth, the Vatican's leading exorcist, as he investigates the possession of a child and uncovers a conspiracy the Vatican has tried to keep secret."
Love,2015,6.1,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed."
Batman,1989,7.5,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker."
Ghosted: Sem Resposta,2023,5.8,"Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world."
Harry Potter e a Pedra Filosofal,2001,7.6,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
